
SEE CONTEXT: CLICK ON WORD OR SELECT WORDS + [CONTEXT]   [HELP...]	  ?   
 			FREQ	 
463		 JUAN	9298	
464		 PHILLIPS	9268	
465		 LOU	9249	
466		 JANET	9237	
467		 JAKE	9229	
468		 EMILY	9197	
469		 MONICA	9146	
470		 RALPH	9130	
471		 REED	9123	
472		 WARNER	9121	
473		 ALI	9105	
474		 JACOB	9103	
475		 BARACK	9077	
476		 DIANA	9032	
477		 WALTERS	9030	
478		 LUCY	9014	
479		 HAWAII	9008	
480		 ELLEN	8991	
481		 KEITH	8934	
482		 BETTY	8933	
483		 QAEDA	8928	
484		 JACKIE	8850	
485		 NICOLE	8809	
486		 LEBANON	8753	
487		 PAULA	8732	
488		 KATIE	8711	
489		 VIDEOTAPE	8701	
490		 HAMILTON	8700	
491		 GREEN	8600	
492		 MONTANA	8580	
493		 MASON	8532	
494		 BETH	8526	
495		 JULIA	8508	
496		 BENJAMIN	8499	
497		 ALBERT	8468	
498		 JESSICA	8440	
499		 ROOSEVELT	8431	
500		 JENNINGS	8424	
501		 TORONTO	8417	
502		 KARL	8379	
503		 WOOD	8364	
504		 WINDOWS	8328	
505		 PHOENIX	8287	
506		 ROB	8256	
507		 BOSNIA	8195	
508		 CHENEY	8133	
509		 DES	8121	
510		 EAST	8110	
511		 SD	8105	
512		 CAMBRIDGE	8086	
513		 MARIE	8084	
514		 CATHERINE	8020	
515		 FLA	8017	
516		 COLUMBUS	7970	
517		 CONT	7964	
518		 VINCENT	7955	
519		 MURRAY	7941	
520		 DOW	7896	
521		 SAINT	7871	
522		 O.J.	7855	
523		 BENNETT	7852	
524		 CARLOS	7842	
525		 HAITI	7841	
526		 COLIN	7778	
527		 DC	7775	
528		 DREW	7769	
529		 OLIVER	7768	
530		 SIDEBAR	7719	
531		 NEIL	7691	
532		 YELTSIN	7682	
533		 PORTLAND	7654	
534		 WENDY	7639	
535		 NATHAN	7632	
536		 EVANS	7615	
537		 HAROLD	7611	
538		 OXFORD	7596	
539		 BRAD	7576	
540		 EMMA	7550	
541		 REBECCA	7549	
542		 TOUR	7535	
543		 FORREST	7532	
544		 LEONARD	7476	
545		 ROGERS	7461	
546		 BIN	7459	
547		 RANDY	7450	
548		 VICTOR	7420	
549		 JAMIE	7399	
550		 HUNTER	7376	
551		 IRA	7370	
552		 YALE	7360	
553		 INTERNET	7358	
554		 HOLMES	7354	
555		 LEON	7339	
556		 WESTERN	7338	
557		 PARK	7334	
558		 PETERSON	7328	
559		 HUGH	7302	
560		 KATHY	7302	
561		 LEO	7280	
562		 GRAY	7269	
563		 PRICE	7243	
564		 CINCINNATI	7225	
565		 MCDONALD	7194	
566		 JUSTIN	7193	
567		 HUDSON	7190	
568		 SAMUEL	7188	
569		 GAZA	7172	
570		 ARMSTRONG	7162	
571		 BERNARD	7136	
572		 SALLY	7130	
573		 JOEL	7128	
574		 SULLIVAN	7112	
575		 WILLIE	7094	
576		 LE	7085	
577		 REYNOLDS	7083	
578		 NEVADA	7039	
579		 MARCUS	7017	
580		 DANA	6996	
581		 FISHER	6982	
582		 GM	6971	
583		 COLE	6944	
584		 MASS	6934	
585		 WATSON	6918	
586		 DAKOTA	6896	
587		 LLOYD	6894	
588		 SARA	6889	
589		 VERMONT	6879	
590		 SHAKESPEARE	6847	
591		 NEAL	6841	
592		 CHUCK	6831	
593		 MOLLY	6827	
594		 KENNETH	6821	
595		 IBM	6820	
596		 VATICAN	6816	
597		 NORMAN	6801	
598		 WARD	6793	
599		 CASTRO	6788	
600		 MAGGIE	6779	
601		 MALCOLM	6770	
602		 COKIE	6762	
603		 BLACK	6746	
604		 DONNA	6739	
605		 POLAND	6734	
606		 BAILEY	6724	
607		 REID	6717	
608		 PUERTO	6712	
609		 CA	6709	
610		 BUFFALO	6687	
611		 TYLER	6646	
612		 KENNY	6645	
613		 HITLER	6630	
614		 RICHMOND	6614	
615		 MONTGOMERY	6587	
616		 NEBRASKA	6583	
617		 CASEY	6578	
618		 SILVER	6574	
619		 TOKYO	6569	
620		 HUGHES	6553	
621		 HANSEN	6547	
622		 ELLIS	6524	
623		 SPENCER	6508	
624		 VON	6499	
625		 JILL	6478	
626		 NEWMAN	6474	
627		 READING	6462	
628		 CLAIRE	6450	
629		 GREGORY	6434	
630		 BROADWAY	6423	
631		 GA	6416	
632		 PENN	6415	
633		 BRYANT	6402	
634		 SIERRA	6396	
635		 UNION	6394	
636		 BANK	6386	
637		 BARNES	6383	
638		 GLENN	6367	
639		 ET	6364	
640		 LOUISE	6301	
641		 N.Y.	6289	
642		 VICTORIA	6286	
643		 FIELD	6258	
644		 MILES	6256	
645		 DUNCAN	6252	
646		 ANDREA	6245	
647		 AMANDA	6213	
648		 UKRAINE	6212	
649		 STUART	6181	
650		 JEREMY	6171	
651		 RAYMOND	6166	
652		 IDAHO	6163	
653		 PATRICIA	6155	
654		 PA	6154	
655		 MARC	6135	
656		 HEATHER	6126	
657		 SETH	6107	
658		 ORLANDO	6089	
659		 JENNY	6081	
660		 LILY	6081	
661		 HANNAH	6080	
662		 FOSTER	6075	
663		 GATES	6073	
664		 CAMERON	6055	
665		 HARVEY	6047	
666		 GUY	6019	
667		 KATRINA	6019	
668		 DOROTHY	6016	
669		 MELISSA	5984	
670		 CAROLINE	5980	
671		 V.O.	5971	
672		 SNOW	5958	
673		 MILWAUKEE	5956	
674		 GARCIA	5954	
675		 INDONESIA	5931	
676		 DEBORAH	5919	
677		 SHAW	5896	
678		 BEVERLY	5891	
679		 WADE	5887	
680		 N.J.	5874	
681		 RIO	5864	
682		 JUSTICE	5864	
683		 HARRISON	5864	
684		 MAC	5863	
685		 TAMPA	5854	
686		 LUCAS	5849	
687		 RITA	5848	
688		 GREECE	5847	
689		 NY	5844	
690		 LAUREN	5842	
691		 COBB	5842	
692		 CRUZ	5835	
693		 HART	5827	
694		 TIMOTHY	5825	
695		 ELVIS	5809	
696		 TUCKER	5803	
697		 CAPE	5798	
698		 SANDERS	5797	
699		 GOLDMAN	5795	
700		 JUPITER	5793	
701		 ERIN	5793	
702		 BUTLER	5783	
703		 KYLE	5783	
704		 BURKE	5770	
705		 CANYON	5766	
706		 LESLIE	5756	
707		 LORD	5754	
708		 KATHLEEN	5749	
709		 BOULDER	5748	
710		 HARPER	5727	
711		 MO	5716	
712		 SUE	5680	
713		 STEVENS	5671	
714		 SANDY	5666	
715		 BLAIR	5666	
716		 KENT	5639	
717		 SECRETARY	5639	
718		 ALFRED	5631	
719		 CURTIS	5627	
720		 UNINTELLIGIBLE	5626	
721		 QUINN	5623	
722		 CYNTHIA	5620	
723		 MITT	5596	
724		 TRAVIS	5586	
725		 SANDRA	5577	
726		 WHO	5574	
727		 NASHVILLE	5567	
728		 GERALD	5558	
729		 VENUS	5532	
730		 RICHARDSON	5526	
731		 COX	5525	
732		 MEMPHIS	5519	
733		 LIZ	5517	
734		 WELLS	5510	
735		 CONNIE	5495	
736		 ANGELA	5495	
737		 BRYAN	5489	
738		 HOPKINS	5465	
739		 GENE	5461	
740		 COLEMAN	5459	
741		 CHEN	5448	
742		 TRACY	5443	
743		 CARSON	5427	
744		 KLEIN	5416	
745		 JUDGE	5412	
746		 ARGENTINA	5389	
747		 RUSH	5376	
748		 GLORIA	5374	
749		 PRINCETON	5358	
750		 DEREK	5350	
751		 PUTIN	5349	
752		 STARR	5348	
753		 CINDY	5343	
754		 SACRAMENTO	5334	
755		 STEPHANIE	5328	
756		 INDIANAPOLIS	5323	
757		 ABRAHAM	5314	
758		 WYOMING	5303	
759		 KENYA	5286	
760		 GRIFFIN	5285	
761		 JOYCE	5281	
762		 RODRIGUEZ	5280	
763		 FACEBOOK	5275	
764		 ARAFAT	5265	
765		 HANK	5265	
766		 BERNIE	5250	
767		 GOOGLE	5247	
768		 NATALIE	5246	
769		 BRANDON	5244	
770		 NIGERIA	5239	
771		 LITTLE	5238	
772		 YANKEES	5237	
773		 MYERS	5235	
774		 ROSIE	5235	
775		 HUNT	5223	
776		 ABU	5210	
777		 ASHLEY	5206	
778		 NOVAK	5200	
779		 ARLINGTON	5199	
780		 MICKEY	5189	
781		 CLAYTON	5183	
782		 O	5182	
783		 CARROLL	5163	
784		 ANDREWS	5156	
785		 MARIO	5143	
786		 IAN	5143	
787		 KAY	5139	
788		 BRADY	5136	
789		 LYNCH	5130	
790		 Q	5119	
791		 NEWT	5109	
792		 CAMP	5079	
793		 TEMPLE	5064	
794		 CAROLYN	5058	
795		 DALE	5048	
796		 MARTINEZ	5028	
797		 PEARL	5024	
798		 TROY	5023	
799		 JOEY	5023	
800		 SERBS	5016	
801		 SCOTLAND	5011	
802		 RILEY	5007	
803		 PALMER	4997	
804		 MIDWEST	4991	
805		 SUNDAYS	4981	
806		 LIBYA	4960	
807		 ALZHEIMER	4959	
808		 SHERMAN	4955	
809		 GONZALEZ	4941	
810		 SOMALIA	4939	
811		 KNIGHT	4935	
812		 DELAWARE	4929	
813		 N.C.	4921	
814		 MINNEAPOLIS	4915	
815		 CARLSON	4911	
816		 OSCAR	4910	
817		 BLAKE	4896	
818		 BUDDY	4889	
819		 NINA	4887	
820		 PANAMA	4886	
821		 N.Y	4880	
822		 CHRISTIE	4874	
823		 SWEDEN	4873	
824		 SYDNEY	4868	
825		 ZEALAND	4866	
826		 COSTA	4863	
827		 LAURIE	4858	
828		 FORBES	4854	
829		 TRUMAN	4842	
830		 CHRISTINE	4836	
831		 CHILE	4819	
832		 NICHOLAS	4817	
833		 AURORA	4811	
834		 WHITNEY	4806	
835		 FITZGERALD	4801	
836		 DYLAN	4782	
837		 KIRK	4768	
838		 PORTER	4766	
839		 MEREDITH	4748	
840		 RUDY	4747	
841		 CLARENCE	4742	
842		 TOYOTA	4740	
843		 ROBERTSON	4735	
844		 HAYES	4732	
845		 O'CONNOR	4729	
846		 NOTRE	4723	
847		 LES	4719	
848		 EUGENE	4708	
849		 HEZBOLLAH	4705	
850		 YUGOSLAVIA	4697	
851		 MITCH	4686	
852		 BERRY	4669	
853		 MIRANDA	4664	
854		 WALSH	4652	
855		 ROCKIES	4652	
856		 ROCKY	4650	
857		 CLARA	4640	
858		 WAL-MART	4636	
859		 FLORENCE	4633	
860		 MATTHEWS	4631	
861		 WEBB	4631	
862		 NOAH	4623	
863		 MCCARTHY	4608	
864		 PHILIPPINES	4606	
865		 ELLIOTT	4604	
866		 FREDERICK	4594	
867		 GENEVA	4592	
868		 DAME	4592	
869		 KOSOVO	4590	
